127.0.0.1 - - [03/Sep/2025:10:37:19 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:10:37:30 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:03 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:10 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:11 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:11 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:12 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:12 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:13 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:14 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
127.0.0.1 - - [03/Sep/2025:11:02:14 +0800] "HEAD / HTTP/1.1" 200 0 "-" "curl/8.4.0"
9.135.100.135 - - [04/Sep/2025:04:08:32 +0800] "GET / HTTP/1.0" 200 612 "-" "-"
9.135.100.135 - - [04/Sep/2025:04:08:32 +0800] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanYUhSMGNEb3ZMekl4TGpZdU1qUXhMakl3TnpvNE1BPT0="
9.135.100.135 - - [04/Sep/2025:04:18:18 +0800] "GET / HTTP/1.0" 400 255 "-" "-"
9.135.100.135 - - [04/Sep/2025:04:18:18 +0800] "GET / HTTP/1.1" 400 657 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanYUhSMGNEb3ZMekl4TGpZdU1qUXhMakl3TnpvME5ETT0="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET /login HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanYUhSMGNEb3ZMekl4TGpZdU1qUXhMakl3TnpvNE1DOXNiMmRwYmc9PQ=="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanTWpFdU5pNHlOREV1TWpBMw=="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET /favicon.ico HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanTWpFdU5pNHlOREV1TWpBMw=="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET http://9.139.82.162/itscan.html HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanTWpFdU5pNHlOREV1TWpBMw=="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET http://10.99.229.178/itscan.html HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanTWpFdU5pNHlOREV1TWpBMw=="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET /cgi-bin/gateway/agentinfo HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScan"
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET http://9.218.232.52/itscan.html HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScanTWpFdU5pNHlOREV1TWpBMw=="
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "POST /run HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScan"
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET /api/session/properties HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScan"
9.135.100.135 - - [04/Sep/2025:04:55:21 +0800] "GET /console/css/%252e%252e%252f/consolejndi.portal HTTP/1.1" 404 555 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36 IT-RiskScan"
